,Stage Name,Full Name,Korean Name,K. Stage Name,Date of Birth,Group,Country,Height,Weight,Birthplace,Gender,Instagram,Birth,age,birth year
205,Hayun,Lee Hayun,이하윤,하윤,8/29/1994,,South Korea,0,0,Changwon,F,hayoon.y,1994-08-29,28,1994
206,Bona,Kim Jiyeon,김지연,보나,8/19/1995,Cosmic Girls,South Korea,163,0,Daegu,F,,1995-08-19,27,1995
207,Cheng Xiao,Cheng Xiao,청샤오,성소,7/15/1998,Cosmic Girls,China,167,0,Shenzhen,F,chengxiao_0715,1998-07-15,24,1998
208,Dayoung,Im Dayoung,임다영,다영,5/14/1999,Cosmic Girls,South Korea,161,0,Jeju,F,,1999-05-14,23,1999
209,Xuanyi,Wu Xuanyi,우쉬안이,선의,1/26/1995,Cosmic Girls,China,166,0,Hainan,F,,1995-01-26,27,1995
210,Eunseo,Son Juyeon,손주연,은서,5/27/1998,Cosmic Girls,South Korea,167,0,Incheon,F,_eunseo_v,1998-05-27,24,1998
211,Yeoreum,Lee Jinsook,이진숙,여름,1/10/1999,Cosmic Girls,South Korea,161,0,Seoul,F,,1999-01-10,23,1999
212,Seola,Kim Hyunjung,김현정,설아,12/24/1994,Cosmic Girls,South Korea,165,0,Seoul,F,seola_s,1994-12-24,28,1994
213,Exy,Chu Sojung,추소정,엑시,11/6/1995,Cosmic Girls,South Korea,166,0,Busan,F,exy_s2,1995-11-06,27,1995
214,Soobin,Park Soobin,박수빈,수빈,9/14/1996,Cosmic Girls,South Korea,159,0,Seoul,F,,1996-09-14,26,1996
215,Luda,Lee Luda,이루다,루다,3/6/1997,Cosmic Girls,South Korea,157,0,Seoul,F,,1997-03-06,25,1997
216,Dawon,Nam Dawon,남다원,다원,3/16/1997,Cosmic Girls,South Korea,167,0,Seoul,F,,1997-03-16,25,1997
217,Meiqi,Meng Meiqi,멍메이치,미기,10/15/1998,Cosmic Girls,China,164,0,Luoyang,F,,1998-10-15,24,1998
218,Yeonjung,Yu Yeonjung,유연정,연정,8/3/1999,Cosmic Girls,South Korea,167,52,Gwangmyeong,F,uyj_s,1999-08-03,23,1999
219,Geummi,Baek Boram,백보람,금미,6/18/1988,Crayon Pop,South Korea,165,0,Seoul,F,g.mi,1988-06-18,34,1988
220,Ellin,Kim Minyoung,김민영,엘린,4/2/1990,Crayon Pop,South Korea,165,44,Daegu,F,hiellin,1990-04-02,32,1990
221,Choa,Heo Minjin,허민진,초아,7/12/1990,Crayon Pop,South Korea,161,0,Seoul,F,,1990-07-12,32,1990
222,Way,Heo Minsun,허민선,웨이,7/12/1990,Crayon Pop,South Korea,161,0,Seoul,F,baysunny,1990-07-12,32,1990
223,Soyul,Park Hyekyeong,박혜경,소율,5/15/1991,Crayon Pop,South Korea,160,0,Seoul,F,,1991-05-15,31,1991
224,Hanna,Shin Jiyeon,신지연,한나,2/19/1994,MIXX,South Korea,170,48,,F,,1994-02-19,28,1994
225,Henny,Kang Gayoung,강가영,헤니,12/1/1994,,South Korea,168,50,,F,,1994-12-01,28,1994
226,Arie,Jeon Minjae,전민재,아리,4/7/2000,MIXX,South Korea,163,45,,F,,2000-04-07,22,2000
227,Liyah,Moon Liya,문리야,리야,5/11/2000,MIXX,South Korea,175,52,,F,,2000-05-11,22,2000
228,Jiu,Kim Minji,김민지,지유,5/17/1994,Dreamcatcher,South Korea,167,0,Daejeon,F,,1994-05-17,28,1994
229,Sua,Kim Bora,김보라,수아,8/10/1994,Dreamcatcher,South Korea,164,0,Changwon,F,,1994-08-10,28,1994
230,Siyeon,Lee Siyeon,이시연,시연,10/1/1995,Dreamcatcher,South Korea,170,0,Daegu,F,,1995-10-01,27,1995
231,Yoohyeon,Kim Yoohyeon,김유현,유현,1/7/1997,Dreamcatcher,South Korea,171,0,Incheon,F,,1997-01-07,25,1997
232,Dami,Lee Yoobin,이유빈,다미,3/7/1997,Dreamcatcher,South Korea,163,0,Seoul,F,,1997-03-07,25,1997
233,Hyebin,Lee Hyebin,이혜빈,혜빈,1/12/1996,MOMOLAND,South Korea,165,44,Andong,F,,1996-01-12,26,1996
234,Yeonwoo,Lee Dabin,이다빈,연우,8/1/1996,,South Korea,170,49,Seoul,F,,1996-08-01,26,1996
235,Jane,Sung Jiyeon,성지연,제인,12/20/1997,MOMOLAND,South Korea,167,46,Changwon,F,,1997-12-20,25,1997
236,Nayun,Kim Nayun,김나윤,나윤,7/31/1998,MOMOLAND,South Korea,167,48,Seoul,F,,1998-07-31,24,1998
237,Joo E,Lee Joowon,이주원,주이,8/18/1999,MOMOLAND,South Korea,164,45,Bucheon,F,,1999-08-18,23,1999
238,AhIn,Lee Ahin,이아인,아인,9/27/1999,MOMOLAND,South Korea,160,44,Wonju,F,,1999-09-27,23,1999
239,Nancy,Nancy Mcdonie,낸시 맥다니,낸시,4/13/2000,MOMOLAND,South Korea,162,45,Daegu,F,,2000-04-13,22,2000
240,Sumin,Ji Sumin,지수민,수민,3/3/1994,Sonamoo,South Korea,168,0,Yongin,F,,1994-03-03,28,1994
241,Minjae,Seong Minjae,성민재,민재,12/18/1994,Sonamoo,South Korea,165,0,Busan,F,,1994-12-18,28,1994
242,D.ana,Cho Eunae,조은애,디애나,9/10/1995,Sonamoo,South Korea,170,0,Seoul,F,,1995-09-10,27,1995
243,Nahyun,Kim Nahyun,김나현,나현,12/9/1995,Sonamoo,South Korea,170,0,Seoul,F,,1995-12-09,27,1995
244,Euijin,Hong Euijin,홍의진,의진,10/8/1996,Sonamoo,South Korea,168,0,Gwangju,F,,1996-10-08,26,1996
245,High.D,Kim Dohee,김도희,하이디,12/21/1996,Sonamoo,South Korea,165,0,Suwon,F,,1996-12-21,26,1996
246,New Sun,Choi Yoonsun,최윤선,뉴썬,6/19/1997,Sonamoo,South Korea,172,0,,F,,1997-06-19,25,1997
247,T.O.P,Choi Seunghyun,최승현,탑,11/4/1987,BIGBANG,South Korea,180,65,Seoul,M,,1987-11-04,35,1987
248,Taeyang,Dong Youngbae,동영배,태양,5/18/1988,BIGBANG,South Korea,174,56,Uljeongbu,M,,1988-05-18,34,1988
249,G-Dragon,Kwon Jiyong,권지용,지드래곤,8/18/1988,BIGBANG,South Korea,177,58,Seoul,M,,1988-08-18,34,1988
250,Daesung,Daesung,강대성,대성,4/26/1989,BIGBANG,South Korea,178,63,Incheon,M,,1989-04-26,33,1989
251,Seungri,Lee Seunghyun,이승현,승리,12/12/1990,,South Korea,176,60,Gwangju,M,,1990-12-12,32,1990
252,Leeteuk,Park Jeongsu,박정수,이특,7/1/1983,Super Junior,South Korea,179,59,Seoul,M,,1983-07-01,39,1983
253,Heechul,Kim Heechul,김희철,희철,7/10/1983,Super Junior,South Korea,179,60,Hoengseong,M,,1983-07-10,39,1983
254,Yesung,Kim Jongwoon,김종운,예성,8/24/1984,Super Junior,South Korea,178,64,Seoul,M,,1984-08-24,38,1984
255,Kangin,Kim Youngwoon,김영운,강인,1/17/1985,,South Korea,178,70,Seoul,M,,1985-01-17,37,1985
256,Sungmin,Lee Sungmin,이성민,성민,1/1/1986,Super Junior,South Korea,175,57,Gyeonggi,M,,1986-01-01,36,1986
257,Shindong,Shin Donghee,신동희,신동,9/28/1985,Super Junior,South Korea,178,90,Mungyeong,M,,1985-09-28,37,1985
258,Eunhyuk,Lee Hyukjae,이혁재,은혁,4/4/1986,Super Junior,South Korea,176,58,Ilsan,M,,1986-04-04,36,1986
259,Siwon,Choi Siwon,최시원,시원,4/7/1986,Super Junior,South Korea,185,65,Seoul,M,,1986-04-07,36,1986
260,Donghae,Lee Donghae,이동해,동해,10/15/1986,Super Junior,South Korea,176,60,Mokpo,M,,1986-10-15,36,1986
261,Ryeowook,Kim Ryeowook,김려욱,려욱,6/21/1987,Super Junior,South Korea,175,58,Incheon,M,,1987-06-21,35,1987
262,Kyuhyun,Cho Kyuhyun,조규현,규현,2/3/1988,Super Junior,South Korea,180,68,Seoul,M,,1988-02-03,34,1988
263,Han Geng,Han Geng,한경,한경,2/9/1984,,China,181,66,Mudanjiang,M,,1984-02-09,38,1984
264,Kibum,Kim Kibum,김기범,기범,8/21/1987,,South Korea,179,58,Seoul,M,,1987-08-21,35,1987
265,Zhou Mi,Zhou Mi,조미,조미,4/19/1986,Super Junior-M,China,184,64,Wuhan,M,,1986-04-19,36,1986
266,Henry,Henry Lau,헨리 라우,헨리,10/11/1989,Super Junior-M,Canada,176,63,Toronto,M,,1989-10-11,33,1989
267,Onew,Lee Jinki,이진기,온유,12/14/1989,SHINee,South Korea,177,61,Gwangmyeong,M,,1989-12-14,33,1989
268,Jonghyun†,Kim Jonghyun,김종현,종현,4/8/1990,,South Korea,173,56,Seoul,M,,1990-04-08,32,1990
269,Key,Kim Kibum,김기범,키,9/23/1991,SHINee,South Korea,179,59,Daegu,M,,1991-09-23,31,1991
270,Minho,Choi Minho,최민호,민호,12/9/1991,SHINee,South Korea,181,60,Incheon,M,,1991-12-09,31,1991
271,Taemin,Lee Taemin,이태민,태민,7/18/1993,SHINee,South Korea,177,53,Seoul,M,,1993-07-18,29,1993
272,Xiumin,Kim Minseok,김민석,시우민,3/26/1990,EXO,South Korea,173,65,Guri,M,,1990-03-26,32,1990
273,Suho,Kim Junmyeon,김준면,수호,5/22/1991,EXO,South Korea,173,65,Seoul,M,,1991-05-22,31,1991
274,Lay,Zhang Yixing,장이씽,레이,10/7/1991,EXO,China,177,60,Changsa,M,,1991-10-07,31,1991
275,Baekhyun,Byun Baekhyun,변백현,백현,5/6/1992,EXO,South Korea,174,58,Wonmi,M,,1992-05-06,30,1992
276,Chen,Kim Jongdae,김종대,첸,9/21/1992,EXO,South Korea,173,64,Silheung,M,,1992-09-21,30,1992
277,Chanyeol,Park Chanyeol,박찬열,찬열,11/27/1992,EXO,South Korea,185,70,Seoul,M,,1992-11-27,30,1992
278,D.O.,Do Kyungsoo,도경수,디오,1/12/1993,EXO,South Korea,173,60,Gyeonggi,M,,1993-01-12,29,1993
279,Kai,Kim Jongin,김종인,카이,1/14/1994,EXO,South Korea,182,65,Suncheon,M,,1994-01-14,28,1994
280,Sehun,Oh Sehun,오세훈,세훈,4/12/1994,EXO,South Korea,181,63,Seoul,M,,1994-04-12,28,1994
281,Luhan,Lu Han,루한,루한,4/20/1990,,China,178,62,Haidian,M,,1990-04-20,32,1990
282,Kris,Wu Yifan,오역범,크리스,11/6/1990,,Canada,187,73,Guangzhou,M,,1990-11-06,32,1990
283,Tao,Hwang Zitao,황자도,타오,5/2/1993,,China,183,70,Qingdao,M,,1993-05-02,29,1993
284,Jinyoung,Jung Jinyoung,정진영,진영,11/18/1991,,South Korea,178,58,Chungju,M,,1991-11-18,31,1991
285,CNU,Shin Dongwoo,신동우,신우,6/16/1991,B1A4,South Korea,182,64,Seoul,M,,1991-06-16,31,1991
286,Sandeul,Lee Junghwan,이정환,산들,3/20/1992,B1A4,South Korea,178,62,Busan,M,,1992-03-20,30,1992
287,Baro,Cha Sunwoo,차선우,바로,9/5/1992,,South Korea,178,63,Gwangju,M,,1992-09-05,30,1992
288,Gongchan,Gong Chansik,공찬식,공찬,8/14/1993,B1A4,South Korea,181,60,Suncheon,M,,1993-08-14,29,1993
289,Yongguk,Bang Yongguk,방용국,용국,3/31/1990,B.A.P,South Korea,182,60,Incheon,M,,1990-03-31,32,1990
290,Himchan,Kim Himchan,김힘찬,힘찬,4/19/1990,B.A.P,South Korea,180,69,Seoul,M,,1990-04-19,32,1990
291,Daehyun,Jung Daehyun,정대현,대현,6/28/1993,B.A.P,South Korea,177,63,Busan,M,,1993-06-28,29,1993
292,Youngjae,Yoo Youngjae,유영재,영재,1/24/1994,B.A.P,South Korea,178,65,Seoul,M,,1994-01-24,28,1994
293,Jongup,Moon Jongup,문종업,종업,2/6/1995,B.A.P,South Korea,176,66,Seoul,M,,1995-02-06,27,1995
294,Zelo,Choi Junhong,최준홍,젤로,10/15/1996,B.A.P,South Korea,182,63,Mokpo,M,,1996-10-15,26,1996
295,Zico,Woo Jiho,우지호,지코,9/14/1992,Block B,South Korea,182,65,Seoul,M,,1992-09-14,30,1992
296,Taeil,Lee Taeil,이태일,태일,9/24/1990,Block B,South Korea,167,57,Seoul,M,,1990-09-24,32,1990
297,B-Bomb,Lee Minhyuk,이민혁,비범,12/14/1990,Block B,South Korea,178,60,Seoul,M,,1990-12-14,32,1990
298,Jaehyo,Ahn Jaehyo,안재효,재효,12/23/1990,Block B,South Korea,182,60,Busan,M,,1990-12-23,32,1990
299,U-Kwon,Kim Yukwon,김유권,유권,4/9/1992,Block B,South Korea,176,63,Suwon,M,,1992-04-09,30,1992
300,Park Kyung,Park Kyung,박경,박경,7/8/1992,Block B,South Korea,176,56,Seoul,M,,1992-07-08,30,1992
301,P.O,Pyo Jihoon,표지훈,피오,2/2/1993,Block B,South Korea,181,64,Seoul,M,,1993-02-02,29,1993
302,Doojoon,Yoon Doojoon,윤두준,두준,7/4/1989,Highlight,South Korea,177,66,Goyang,M,,1989-07-04,33,1989
303,Junhyung,Yong Junyung,용준형,준형,12/19/1989,Highlight,South Korea,178,64,Seoul,M,,1989-12-19,33,1989
304,Yoseob,Yang Yoseob,양요섭,요섭,1/5/1990,Highlight,South Korea,171,56,Seoul,M,,1990-01-05,32,1990
305,Gikwang,Lee Gikwang,이기광,기광,3/30/1990,Highlight,South Korea,171,58,Gwangju,M,,1990-03-30,32,1990
306,Dongwoon,Son Dongwoon,손동운,동운,6/6/1991,Highlight,South Korea,181,64,Busan,M,,1991-06-06,31,1991
307,Hyunseung,Jang Hyunseung,장현승,현승,9/3/1989,,South Korea,177,58,Suncheon,M,,1989-09-03,33,1989
308,Jin,Kim Seokjin,김석진,진,12/4/1992,BTS,South Korea,179,63,Gwacheon,M,,1992-12-04,30,1992
309,Suga,Min Yoongi,민윤기,슈가,3/9/1993,BTS,South Korea,176,59,Daegu,M,,1993-03-09,29,1993
310,J-Hope,Jung Hoseok,정호석,제이홉,2/18/1994,BTS,South Korea,177,65,Gwangju,M,,1994-02-18,28,1994
311,RM,Kim Namjoon,김남준,알엠,9/12/1994,BTS,South Korea,181,67,Ilsan,M,,1994-09-12,28,1994
312,Jimin,Park Jimin,박지민,지민,10/13/1995,BTS,South Korea,175,61,Busan,M,,1995-10-13,27,1995
313,V,Kim Taehyung,김태형,뷔,12/30/1995,BTS,South Korea,179,62,Daegu,M,,1995-12-30,27,1995
314,Jungkook,Jeon Jungkook,전정국,정국,9/1/1997,BTS,South Korea,178,66,Busan,M,,1997-09-01,25,1997
315,Sungkyu,Kim Sungkyu,김성규,성규,4/28/1989,Infinite,South Korea,178,62,Jeonju,M,,1989-04-28,33,1989
316,Dongwoo,Jang Dongwoo,장동우,동우,11/22/1990,Infinite,South Korea,171,58,Guri,M,,1990-11-22,32,1990
317,Woohyun,Nam Woohyun,남우현,우현,2/8/1991,Infinite,South Korea,176,52,Seoul,M,,1991-02-08,31,1991
318,Hoya,Lee Howon,이호원,호야,3/28/1991,,South Korea,178,60,Busan,M,,1991-03-28,31,1991
319,Sungyeol,Lee Sungyeol,이성열,성열,8/27/1991,Infinite,South Korea,183,59,Yongin,M,,1991-08-27,31,1991
320,L,Kim Myungsoo,김명수,엘,3/13/1992,Infinite,South Korea,180,60,Seoul,M,,1992-03-13,30,1992
321,Sungjong,Lee Sungjong,이성종,성종,9/3/1993,Infinite,South Korea,177,54,Gwangju,M,,1993-09-03,29,1993
322,N,Cha Hakyeon,차학연,엔,6/30/1990,VIXX,South Korea,180,65,Changwon,M,,1990-06-30,32,1990
323,Leo,Jung Taekwon,정택운,레오,11/10/1990,VIXX,South Korea,183,63,Seoul,M,,1990-11-10,32,1990
324,Ken,Lee Jaehwan,이재환,켄,4/6/1992,VIXX,South Korea,180,65,Seoul,M,,1992-04-06,30,1992
325,Ravi,Kim Wonsik,김원식,라비,2/15/1993,VIXX,South Korea,183,65,Seoul,M,,1993-02-15,29,1993
326,Hongbin,Lee Hongbin,이홍빈,홍빈,9/29/1993,VIXX,South Korea,181,62,Seoul,M,,1993-09-29,29,1993
327,Hyuk,Han Sanghyuk,한상혁,혁,7/5/1995,VIXX,South Korea,181,62,Daejeon,M,,1995-07-05,27,1995
328,Jun. K,Kim Minjun,김민준,준케이,1/15/1988,2PM,South Korea,180,68,Daegu,M,,1988-01-15,34,1988
329,Nichkhun,Nichkhun Horvejkul,닛차쿤 허라웻차꾼,닉쿤,6/24/1988,2PM,Thailand,180,64,California,M,,1988-06-24,34,1988
330,Taecyeon,Ok Taecyeon,옥택연,택연,12/27/1988,2PM,South Korea,185,76,Busan,M,,1988-12-27,34,1988
331,Wooyoung,Jang Wooyoung,장우영,우영,4/30/1989,2PM,South Korea,178,65,Busan,M,,1989-04-30,33,1989
332,Junho,Lee Junho,이준호,준호,1/25/1990,2PM,South Korea,178,67,Ilsan,M,,1990-01-25,32,1990
333,Chansung,Hwang Chansung,황찬성,찬성,2/11/1990,2PM,South Korea,184,75,Seoul,M,,1990-02-11,32,1990
334,Jeongkyun,Jeong Jeongkyun,정정균,정균,11/27/1987,,South Korea,180,60,,M,,1987-11-27,35,1987
335,Ron,Cheon Byeonghwa,천병화,론,1/22/1991,Bigflo,South Korea,183,62,,M,,1991-01-22,31,1991
336,Yoosung,Jeong Yoosung,정유성,유성,10/8/1992,,South Korea,175,52,,M,,1992-10-08,30,1992
337,Z-UK,Jeong Jaewook,정재욱,지욱,1/27/1993,,South Korea,174,62,,M,,1993-01-27,29,1993
338,HighTop,Lim Hyeontae,임현태,하이탑,3/19/1994,Bigflo,South Korea,178,60,,M,,1994-03-19,28,1994
339,Kichun,Hwang Kichun,황기천,기천,3/14/1992,,South Korea,179,63,,M,,1992-03-14,30,1992
340,Eunkwang,Seo Eunkwang,서은광,은광,11/22/1990,BtoB,South Korea,173,62,Yongin,M,,1990-11-22,32,1990
341,Minhyuk,Lee Minhyuk,이민혁,민혁,11/29/1990,BtoB,South Korea,173,61,Seoul,M,,1990-11-29,32,1990
342,Changsub,Lee Changsub,이창섭,창섭,2/26/1991,BtoB,South Korea,177,64,Suwon,M,,1991-02-26,31,1991
343,Hyunsik,Lim Hyunsik,임현식,현식,3/7/1992,BtoB,South Korea,177,66,Ilsan,M,,1992-03-07,30,1992
344,Peniel,Shin Donggeun,신동근,프니엘,3/10/1993,BtoB,South Korea,175,63,Chicago,M,,1993-03-10,29,1993
345,Ilhoon,Jung Ilhoon,정일훈,일훈,10/4/1994,BtoB,South Korea,176,64,Seoul,M,,1994-10-04,28,1994
346,Sungjae,Yook Sungjae,육성재,성재,5/2/1995,BtoB,South Korea,180,68,Yongin,M,,1995-05-02,27,1995
347,S.Coups,Choi Seungcheol,최승철,에스.쿱스,8/8/1995,Seventeen,South Korea,177,63,Daegu,M,,1995-08-08,27,1995
348,Wonwoo,Jeon Wonwoo,전원우,원우,7/17/1996,Seventeen,South Korea,180,57,Changwon,M,,1996-07-17,26,1996
349,Mingyu,Kim Mingyu,김민규,민규,4/6/1997,Seventeen,South Korea,185,65,Anyang,M,,1997-04-06,25,1997
350,Vernon,Choi Hansol,최한솔,버논,2/18/1998,Seventeen,USA,176,56,New York,M,,1998-02-18,24,1998
351,Woozi,Lee Jihoon,이지훈,우지,11/22/1996,Seventeen,South Korea,165,54,Busan,M,,1996-11-22,26,1996
352,Jeonghan,Yoon Jeonghan,윤정한,정한,10/4/1995,Seventeen,South Korea,175,54,Seoul,M,,1995-10-04,27,1995
353,Joshua,Hong Jisoo,홍지수,조슈아,12/30/1995,Seventeen,USA,176,63,Los Angeles,M,,1995-12-30,27,1995
354,DK,Lee Seongmin,이석민,도겸,2/18/1997,Seventeen,South Korea,178,68,Yongin,M,,1997-02-18,25,1997
355,Seungkwan,Boo Seungkwan,부승관,승관,1/16/1998,Seventeen,South Korea,172,58,Jeju,M,,1998-01-16,24,1998
356,Hoshi,Kwon Soonyoung,권순영,호시,6/15/1996,Seventeen,South Korea,178,63,Namyangju,M,,1996-06-15,26,1996
357,Jun,Weng Junhui,원쥔훼이,준,6/10/1996,Seventeen,China,180,63,Shenzen,M,,1996-06-10,26,1996
358,The8,Xu Minghao,쉬밍하오,디에잇,11/7/1997,Seventeen,China,175,53,Anshan,M,,1997-11-07,25,1997
359,Dino,Lee Chan,이찬,디노,2/11/1999,Seventeen,South Korea,167,54,Iksan,M,,1999-02-11,23,1999
360,Kyungil,Song Kyungil,송경일,경일,11/28/1987,HISTORY,South Korea,183,72,,M,,1987-11-28,35,1987
361,Dokyun,Na Dokyun,나도균,도균,2/11/1991,HISTORY,South Korea,184,65,Daejeon,M,,1991-02-11,31,1991
362,Sihyoung,Kim Sihyoung,김시형,시형,5/15/1992,HISTORY,South Korea,182,63,Busan,M,,1992-05-15,30,1992
363,Jaeho,Kim Jaeho,김재호,재호,9/17/1992,HISTORY,South Korea,174,58,,M,,1992-09-17,30,1992
364,Yijeong,Jang Yijeong,장이정,이정,9/10/1993,HISTORY,South Korea,173,58,Jinju,M,,1993-09-10,29,1993
365,Donghyun,Kim Donghyun,김동현,동현,2/12/1989,Boyfriend,South Korea,178,60,Seoul,M,,1989-02-12,33,1989
366,Hyunseong,Shim Hyunseong,심현성,현성,6/9/1993,Boyfriend,South Korea,178,58,Yeongcheon,M,,1993-06-09,29,1993
367,Jeongmin,Lee Jeongmin,이정민,정민,2/1/1994,Boyfriend,South Korea,173,60,Suwon,M,,1994-02-01,28,1994
368,Youngmin,Jo Youngmin,조영민,영민,4/24/1995,Boyfriend,South Korea,180,0,Anyang,M,,1995-04-24,27,1995
369,Kwangmin,Jo Kwangmin,조광민,광민,4/24/1995,Boyfriend,South Korea,180,0,Anyang,M,,1995-04-24,27,1995
370,Minwoo,No Minwoo,노민우,민우,7/31/1995,Boyfriend,South Korea,174,60,Anyang,M,,1995-07-31,27,1995
371,Seyoung,Lee Seyoung,이세영,세영,2/8/1990,CROSS GENE,South Korea,180,60,Busan,M,,1990-02-08,32,1990
372,Casper,Chu Xiaoxiang,저효상,캐스퍼,3/20/1991,CROSS GENE,China,176,66,Shanghai,M,,1991-03-20,31,1991
373,Shin,Shin Wonho,신원호,신,10/23/1991,CROSS GENE,South Korea,185,66,Seoul,M,,1991-10-23,31,1991
374,Takuya,Terada Takuya,테라다 타쿠야,타쿠야,3/18/1992,CROSS GENE,Japan,187,68,Moriya,M,,1992-03-18,30,1992
375,Sangmin,Kim Sangmin,김상민,상민,7/7/1992,CROSS GENE,South Korea,178,67,Jinju,M,,1992-07-07,30,1992
376,Yongseok,Kim Yongseok,김용석,용석,1/8/1993,CROSS GENE,South Korea,176,64,Seoul,M,,1993-01-08,29,1993
377,J.seph,Kim Taehyung,김태형,제이셉,6/21/1992,KARD,South Korea,0,0,,M,,1992-06-21,30,1992
378,BM,Matthew Kim,매튜김,비엠,10/20/1992,KARD,South Korea,0,0,,M,,1992-10-20,30,1992
379,Somin,Jeon Somin,전소민,소민,8/22/1996,KARD,South Korea,0,0,Seoul,F,,1996-08-22,26,1996
380,Jiwoo,Jeon Jiwoo,전지우,지우,10/4/1996,KARD,South Korea,0,0,,F,,1996-10-04,26,1996
381,Youngji,Hur Youngji,허영지,영지,8/30/1994,,South Korea,0,0,Goyang,F,,1994-08-30,28,1994
382,Gyuri,Park Gyuri,박규리,규리,5/21/1988,KARA,South Korea,0,0,Seoul,F,,1988-05-21,34,1988
383,Seungyeon,Han Seungyeon,한승연,승연,7/24/1988,KARA,South Korea,0,0,Seoul,F,,1988-07-24,34,1988
384,Hara†,Koo Hara,구하라,하라,1/13/1991,KARA,South Korea,0,0,Gwangju,F,,1991-01-13,31,1991
385,Nicole,Nicole Jung,정니콜,니콜,10/7/1991,,South Korea,0,0,Los Angeles,F,,1991-10-07,31,1991
386,Jiyoung,Kang Jiyoung,강지영,지영,1/18/1994,,South Korea,0,0,Paju,F,,1994-01-18,28,1994
387,Jinho,Jo Jinho,조진호,조진호,4/17/1992,PENTAGON,South Korea,0,0,,M,,1992-04-17,30,1992
388,Hui,Lee Hwitaek,이회택,후이,8/28/1993,PENTAGON,South Korea,0,0,,M,,1993-08-28,29,1993
389,Hongseok,Yang Hongseok,양홍석,홍석,4/17/1994,PENTAGON,South Korea,0,0,,M,,1994-04-17,28,1994
390,E'Dawn,Kim Hyojong,김효종,이던,6/1/1994,,South Korea,0,0,,M,,1994-06-01,28,1994
391,Shinwon,Go Shinwon,고신원,신원,12/11/1995,PENTAGON,South Korea,0,0,,M,,1995-12-11,27,1995
392,Yeo One,Yeon Changgu,여창구,여원,3/27/1996,PENTAGON,South Korea,0,0,,M,,1996-03-27,26,1996
393,Yan An,Yan An,옌안,옌안,10/25/1996,PENTAGON,China,0,0,Shanghai,M,,1996-10-25,26,1996
394,Yuto,Adachi Yuto,아다치 유토,유토,1/23/1998,PENTAGON,Japan,0,0,,M,,1998-01-23,24,1998
395,Kino,Kang Hyungku,강형구,키노,1/27/1998,PENTAGON,South Korea,0,0,,M,,1998-01-27,24,1998
396,Wooseok,Jeong Wooseok,정우석,우석,1/31/1998,PENTAGON,South Korea,0,0,,M,,1998-01-31,24,1998
397,Moonhee,Choi Moonhee,최문희,문희,4/15/1997,Bonus Baby,South Korea,167,0,,F,,1997-04-15,25,1997
398,Hayoon,Jung Hayoon,정하윤,하윤,11/21/1998,Bonus Baby,South Korea,163,0,,F,,1998-11-21,24,1998
399,Chaehyun,Kim Chaehyun,김채현,채현,11/29/1999,Bonus Baby,South Korea,163,0,,F,,1999-11-29,23,1999
400,Dayun,Kim Dayun,김다윤,다윤,11/20/2000,Bonus Baby,South Korea,164,0,,F,,2000-11-20,22,2000
401,Gaon,Beom Gaon,범가온,가온,3/9/2001,Bonus Baby,South Korea,163,0,,F,,2001-03-09,21,2001
402,Kongyoo,Kong Yoojin,공유진,공유,5/11/2001,Bonus Baby,South Korea,163,0,,F,,2001-05-11,21,2001
403,Chaekyung,Yoon Chaekyung,윤채경,채경,7/7/1996,APRIL,South Korea,160,45,Incheon,F,,1996-07-07,26,1996
404,Rachel,Sung Nayeon,성나연,레이첼,8/28/2000,APRIL,South Korea,0,0,,F,,2000-08-28,22,2000
405,Sohee,Kim Sohee,소희,김소희,1/20/1995,Nature,South Korea,162,41,Busan,F,,1995-01-20,27,1995
406,Lee Haein,Lee Haein,이해인,이해인,7/4/1992,I.B.I,South Korea,165,49,Changwon,F,,1992-07-04,30,1992
407,Lee Suhyun,Lee Suhyun,이수현,이수현,11/5/1996,I.B.I,South Korea,167,50,Ansan,F,,1996-11-05,26,1996
408,Han Hyeri,Han Hyeri,한혜리,한혜리,8/24/1997,I.B.I,South Korea,159,42,Gwangmyeong,F,soh_eee,1997-08-24,25,1997
409,Hyosung,Jun Hyoseong,전효성,효성,10/13/1989,SECRET,South Korea,0,0,Cheongju,F,secrettimehs,1989-10-13,33,1989
410,Hana,Jung Hana,정하나,하나,2/2/1990,SECRET,South Korea,0,0,Uljeongbu,F,,1990-02-02,32,1990
411,Jieun,Song Jieun,송지은,지은,5/5/1990,SECRET,South Korea,0,0,Seoul,F,secret_jieunssong,1990-05-05,32,1990
412,Sunhwa,Han Sunhwa,한선화,선화,10/6/1990,,South Korea,0,0,Busan,F,shh_daily,1990-10-06,32,1990
413,Heeyu,Choi Heejae,최희재,희유,6/30/1995,MIXX,South Korea,159,0,,F,,1995-06-30,27,1995
414,Mia,Son Hyunmi,손현미,미아,12/31/1997,MIXX,South Korea,174,0,,F,,1997-12-31,25,1997
415,Heejin,Jeon Heejin,전희진,희진,10/19/2000,LOONA,South Korea,0,0,Seongnam,F,,2000-10-19,22,2000
416,Hyunjin,Kim Hyunjin,김현진,현진,11/15/2000,LOONA,South Korea,0,0,Jeonju,F,,2000-11-15,22,2000
417,Haseul,Jo Haseul,조하슬,하슬,8/18/1997,LOONA,South Korea,0,0,Ansan,F,,1997-08-18,25,1997
